Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.1001408100128174
W2_XL_input_clean_1001,82.6086956521739,2.0731680393218994
W2_XL_input_clean_1002,71.73913043478261,1.7047317028045654
W2_XL_input_clean_1003,0.0,0.3739168643951416
W2_XL_input_clean_1004,0.0,0.36745595932006836
W2_XL_input_clean_1005,0.0,0.7109770774841309
W2_XL_input_clean_1006,0.0,0.6708269119262695
W2_XL_input_clean_1007,26.08695652173913,1.9672150611877441
W2_XL_input_clean_1008,60.86956521739131,1.4851651191711426
W2_XL_input_clean_1009,78.26086956521739,2.3584179878234863
W2_XL_input_clean_1010,84.78260869565217,2.8335328102111816
W2_XL_input_clean_1011,6.521739130434782,1.3440709114074707
W2_XL_input_clean_1012,0.0,0.3295588493347168
W2_XL_input_clean_1013,0.0,0.25072693824768066
W2_XL_input_clean_1014,0.0,0.2963099479675293
W2_XL_input_clean_1015,6.521739130434782,0.6351697444915771
W2_XL_input_clean_1016,0.0,0.3078598976135254
W2_XL_input_clean_1017,0.0,0.9723539352416992
W2_XL_input_clean_1018,13.043478260869565,1.8133790493011475
W2_XL_input_clean_1019,76.08695652173914,1.8860480785369873
W2_XL_input_clean_1020,4.3478260869565215,0.41840410232543945
W2_XL_input_clean_1021,0.0,1.0337350368499756
W2_XL_input_clean_1022,21.73913043478261,1.6392741203308105
W2_XL_input_clean_1023,0.0,0.6295907497406006
W2_XL_input_clean_1024,6.521739130434782,0.4731898307800293
W2_XL_input_clean_1025,0.0,0.44063901901245117
W2_XL_input_clean_1026,17.391304347826086,0.8011579513549805
W2_XL_input_clean_1027,6.521739130434782,0.5072009563446045
W2_XL_input_clean_1028,19.565217391304348,1.7684800624847412
W2_XL_input_clean_1029,13.043478260869565,0.710731029510498
W2_XL_input_clean_1030,10.869565217391305,0.4448089599609375
W2_XL_input_clean_1031,0.0,0.31907105445861816
W2_XL_input_clean_1032,0.0,0.9018259048461914
W2_XL_input_clean_1033,6.521739130434782,0.9143879413604736
W2_XL_input_clean_1034,0.0,0.44584178924560547
W2_XL_input_clean_1035,0.0,0.42588090896606445
W2_XL_input_clean_1036,26.08695652173913,0.73390793800354
W2_XL_input_clean_1038,0.0,0.4762990474700928
W2_XL_input_clean_1039,0.0,0.3133258819580078
W2_XL_input_clean_1040,0.0,1.769435167312622
W2_XL_input_clean_1041,19.565217391304348,1.4200348854064941
W2_XL_input_clean_1042,78.26086956521739,1.4393489360809326
W2_XL_input_clean_1043,19.565217391304348,1.3990700244903564
W2_XL_input_clean_1044,0.0,0.4878230094909668
W2_XL_input_clean_1045,76.08695652173914,2.4378700256347656
W2_XL_input_clean_1046,0.0,0.3702828884124756
W2_XL_input_clean_1047,73.91304347826086,1.7562839984893799
W2_XL_input_clean_1048,2.1739130434782608,0.6457507610321045
W2_XL_input_clean_1049,10.869565217391305,1.7651331424713135
W2_XL_input_clean_1050,82.6086956521739,2.504887104034424
W2_XL_input_clean_1051,0.0,0.2946739196777344
W2_XL_input_clean_1052,15.217391304347828,1.2638320922851562
W2_XL_input_clean_1053,6.521739130434782,0.9360141754150391
W2_XL_input_clean_1054,0.0,0.5151801109313965
W2_XL_input_clean_1055,78.26086956521739,2.2074618339538574
W2_XL_input_clean_1056,17.391304347826086,0.82499098777771
W2_XL_input_clean_1057,0.0,0.4577820301055908
W2_XL_input_clean_1058,0.0,0.5346150398254395
W2_XL_input_clean_1059,13.043478260869565,0.9201071262359619
W2_XL_input_clean_1060,26.08695652173913,1.3207550048828125
W2_XL_input_clean_1061,76.08695652173914,2.5601348876953125
W2_XL_input_clean_1062,73.91304347826086,2.5332930088043213
W2_XL_input_clean_1063,0.0,0.3500030040740967
W2_XL_input_clean_1064,15.217391304347828,2.088797092437744
W2_XL_input_clean_1065,0.0,0.46066808700561523
W2_XL_input_clean_1066,0.0,0.993218183517456
W2_XL_input_clean_1067,4.3478260869565215,0.7586638927459717
W2_XL_input_clean_1068,0.0,0.525568962097168
W2_XL_input_clean_1069,76.08695652173914,2.5318849086761475
W2_XL_input_clean_1070,13.043478260869565,1.303426742553711
W2_XL_input_clean_1071,80.43478260869566,2.4551632404327393
W2_XL_input_clean_1072,6.521739130434782,0.9431900978088379
W2_XL_input_clean_1073,0.0,0.3809988498687744
W2_XL_input_clean_1074,82.6086956521739,2.3279731273651123
W2_XL_input_clean_1075,19.565217391304348,1.015166997909546
W2_XL_input_clean_1076,52.17391304347826,1.5497448444366455
W2_XL_input_clean_1077,0.0,0.31156373023986816
W2_XL_input_clean_1078,28.26086956521739,1.4712021350860596
W2_XL_input_clean_1079,78.26086956521739,2.210848093032837
W2_XL_input_clean_1080,47.82608695652174,1.7749590873718262
W2_XL_input_clean_1081,78.26086956521739,2.034963846206665
W2_XL_input_clean_1082,80.43478260869566,2.632636308670044
W2_XL_input_clean_1083,0.0,0.6889998912811279
W2_XL_input_clean_1084,0.0,0.27956104278564453
W2_XL_input_clean_1085,8.695652173913043,1.7723867893218994
W2_XL_input_clean_1086,6.521739130434782,0.6572122573852539
W2_XL_input_clean_1087,0.0,0.6736891269683838
W2_XL_input_clean_1088,0.0,0.2776010036468506
W2_XL_input_clean_1089,0.0,0.33405089378356934
W2_XL_input_clean_1090,26.08695652173913,1.908869981765747
W2_XL_input_clean_1091,78.26086956521739,2.5493128299713135
W2_XL_input_clean_1092,0.0,0.35459208488464355
W2_XL_input_clean_1093,60.86956521739131,1.5384950637817383
W2_XL_input_clean_1094,0.0,0.40261411666870117
W2_XL_input_clean_1095,78.26086956521739,2.3185031414031982
W2_XL_input_clean_1096,2.1739130434782608,0.5337278842926025
W2_XL_input_clean_1097,0.0,0.3464949131011963
W2_XL_input_clean_1098,0.0,0.5107109546661377
W2_XL_input_clean_1099,0.0,0.36121082305908203
W2_XL_input_clean_1100,0.0,0.26905202865600586
W2_XL_input_clean_1101,0.0,0.43408823013305664
W2_XL_input_clean_1102,2.1739130434782608,0.6452391147613525
W2_XL_input_clean_1103,80.43478260869566,2.3253371715545654
W2_XL_input_clean_1104,15.217391304347828,1.1643660068511963
W2_XL_input_clean_1105,0.0,0.4207930564880371
W2_XL_input_clean_1106,13.043478260869565,1.1147170066833496
W2_XL_input_clean_1107,0.0,0.28582310676574707
W2_XL_input_clean_1108,0.0,1.63285493850708
W2_XL_input_clean_1109,89.13043478260869,2.3592262268066406
W2_XL_input_clean_1110,63.04347826086957,2.446213722229004
W2_XL_input_clean_1111,10.869565217391305,1.1733450889587402
W2_XL_input_clean_1112,17.391304347826086,2.1478111743927
W2_XL_input_clean_1113,0.0,0.3445582389831543
W2_XL_input_clean_1114,10.869565217391305,0.7097437381744385
W2_XL_input_clean_1115,28.26086956521739,1.0975470542907715
W2_XL_input_clean_1116,0.0,0.37966322898864746
W2_XL_input_clean_1117,69.56521739130434,2.5020930767059326
W2_XL_input_clean_1118,0.0,0.33655571937561035
W2_XL_input_clean_1119,0.0,0.4227108955383301
W2_XL_input_clean_1120,78.26086956521739,2.476738214492798
W2_XL_input_clean_1121,2.1739130434782608,0.5119330883026123
W2_XL_input_clean_1122,80.43478260869566,2.3998730182647705
W2_XL_input_clean_1123,8.695652173913043,1.240774154663086
W2_XL_input_clean_1124,76.08695652173914,2.191602945327759
W2_XL_input_clean_1125,0.0,0.37555503845214844
W2_XL_input_clean_1126,6.521739130434782,0.3930199146270752
W2_XL_input_clean_1127,0.0,0.4425969123840332
W2_XL_input_clean_1128,0.0,0.3736419677734375
W2_XL_input_clean_1129,8.695652173913043,0.5497298240661621
W2_XL_input_clean_1130,0.0,0.6487758159637451
W2_XL_input_clean_1131,2.1739130434782608,0.681326150894165
W2_XL_input_clean_1132,39.130434782608695,0.9667918682098389
W2_XL_input_clean_1133,0.0,0.31531691551208496
W2_XL_input_clean_1134,69.56521739130434,2.1834287643432617
W2_XL_input_clean_1135,76.08695652173914,2.3854448795318604
W2_XL_input_clean_1136,45.65217391304348,1.6578152179718018
W2_XL_input_clean_1137,67.3913043478261,2.3520140647888184
W2_XL_input_clean_1138,0.0,0.5286529064178467
W2_XL_input_clean_1139,0.0,0.7349579334259033
W2_XL_input_clean_1140,73.91304347826086,2.038334846496582
W2_XL_input_clean_1141,4.3478260869565215,0.703150749206543
W2_XL_input_clean_1142,2.1739130434782608,1.095970869064331
W2_XL_input_clean_1143,13.043478260869565,0.7152760028839111
W2_XL_input_clean_1144,65.21739130434783,1.9744131565093994
W2_XL_input_clean_1145,39.130434782608695,0.8682289123535156
W2_XL_input_clean_1146,50.0,1.3556318283081055
W2_XL_input_clean_1147,0.0,0.5338778495788574
W2_XL_input_clean_1148,73.91304347826086,2.4562759399414062
W2_XL_input_clean_1149,0.0,0.35066914558410645
W2_XL_input_clean_1150,0.0,0.37435221672058105
W2_XL_input_clean_1151,2.1739130434782608,0.5229091644287109
W2_XL_input_clean_1152,78.26086956521739,2.4907772541046143
W2_XL_input_clean_1153,15.217391304347828,1.6882250308990479
W2_XL_input_clean_1154,39.130434782608695,1.1531968116760254
W2_XL_input_clean_1155,6.521739130434782,0.8633131980895996
W2_XL_input_clean_1156,32.608695652173914,1.6137731075286865
W2_XL_input_clean_1157,0.0,0.4676039218902588
W2_XL_input_clean_1158,4.3478260869565215,0.5174720287322998
W2_XL_input_clean_1159,19.565217391304348,1.5483839511871338
W2_XL_input_clean_1160,47.82608695652174,1.7590267658233643
W2_XL_input_clean_1161,0.0,0.2931077480316162
W2_XL_input_clean_1162,0.0,0.3863060474395752
W2_XL_input_clean_1163,0.0,0.31762099266052246
W2_XL_input_clean_1164,19.565217391304348,2.4685068130493164
W2_XL_input_clean_1165,6.521739130434782,0.8777599334716797
W2_XL_input_clean_1166,8.695652173913043,1.899245023727417
W2_XL_input_clean_1167,0.0,0.7029931545257568
W2_XL_input_clean_1168,54.347826086956516,2.020190954208374
W2_XL_input_clean_1169,8.695652173913043,0.7314169406890869
W2_XL_input_clean_1170,0.0,0.32682323455810547
W2_XL_input_clean_1171,0.0,0.4162938594818115
W2_XL_input_clean_1172,26.08695652173913,1.6585240364074707
W2_XL_input_clean_1173,0.0,0.6072530746459961
W2_XL_input_clean_1174,78.26086956521739,2.491269111633301
W2_XL_input_clean_1175,17.391304347826086,1.0024220943450928
W2_XL_input_clean_1176,78.26086956521739,2.1247739791870117
W2_XL_input_clean_1177,15.217391304347828,0.9914472103118896
W2_XL_input_clean_1178,63.04347826086957,2.0476179122924805
W2_XL_input_clean_1179,71.73913043478261,2.5857491493225098
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0951149463653564
W2_XL_input_clean_1001,82.6086956521739,2.07655668258667
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0926640033721924
W2_XL_input_clean_1001,82.6086956521739,2.0738680362701416
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.101273775100708
W2_XL_input_clean_1001,82.6086956521739,2.0804271697998047
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.074709177017212
W2_XL_input_clean_1001,82.6086956521739,2.0637240409851074
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.095890998840332
W2_XL_input_clean_1001,82.6086956521739,2.0636630058288574
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0974457263946533
W2_XL_input_clean_1001,82.6086956521739,2.0649619102478027
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0916898250579834
W2_XL_input_clean_1001,82.6086956521739,2.062692880630493
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.091906785964966
W2_XL_input_clean_1001,82.6086956521739,2.063426971435547
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0750060081481934
W2_XL_input_clean_1001,82.6086956521739,2.0608038902282715
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0758211612701416
W2_XL_input_clean_1001,82.6086956521739,2.06599497795105
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0893499851226807
W2_XL_input_clean_1001,82.6086956521739,2.068331003189087
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0803308486938477
W2_XL_input_clean_1001,82.6086956521739,2.0637218952178955
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.0771007537841797
W2_XL_input_clean_1001,82.6086956521739,2.0605320930480957
Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,82.6086956521739,2.10135817527771
W2_XL_input_clean_1001,82.6086956521739,2.068985939025879
